id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,eta_PV,0.15,1,,,,,PV
2,eta_solar_th,0.4,1,,,,,solart_th
3,COP_heat_pump,4,1,,,,,heat_pump
4,conversion_factor_bel_chp,0.4,1,,,,,chp
5,conversion_factor_bth_chp,0.45,1,,,,,chp
6,var_costs_excess_bel,0,EUR/MWh,,,,costs,bus
7,var_costs_excess_bth,0,EUR/MWh,,,,costs,bus
8,charge_time_storage_el,1,h,,,,,
9,charge_time_storage_th,6,h,,,,,
10,nom_val_gas,100000,MW,,,,,source
11,sum_max_gas,100000000,MWh,,,,,source
12,var_costs_gas,45,EUR/MWh,,,,costs,source
13,emission_el,500,kg/MWh,,,,,
14,emission_gas,200,kg/MWh,,,,,
15,conversion_factor_boiler,0.95,1,,,,,boiler
16,capacity_loss_storage_th,0,1,,,,,storage_th
17,inflow_conv_factor_storage_th,1,1,,,,,storage_th
18,outflow_conv_factor_storage_th,0.9,1,,,,,storage_th
19,capacity_loss_storage_el,0,1,,,,,storage_el
20,inflow_conv_factor_storage_el,1,1,,,,,storage_el
21,outflow_conv_factor_storage_el,0.95,1,,,,,storage_el
22,init_capacity_storage_th,0,1,,,,,storage_th
23,init_capacity_storage_el,0,1,,,,,storage_el
24,lifetime,20,a,,,,,
25,wacc,0.05,1,,,,,
26,invest_cost_wind,4000000,EUR/unit,,,,costs,
27,invest_cost_chp,222222,EUR/unit,,,,costs,
28,invest_cost_boiler,3000000,EUR/unit,,,,costs,
29,invest_cost_heatpump,4500000,EUR/unit,,,,costs,
30,invest_cost_pv,2660000,EUR/ha,,,,costs,
31,invest_cost_solarthermal,5000000,EUR/ha,,,,costs,
32,invest_cost_storage_el,26000000,EUR/daily_demand_el,,,,costs,
33,invest_cost_PV_pp,2500000,EUR/ha,,,,,
34,invest_cost_storage_th,14000000,EUR/daily_demand_th,,,,costs,
35,var_costs_shortage_bel,180,EUR/MWh,,,,costs,bus
36,var_costs_shortage_bth,100,EUR/MWh,,,,costs,bus
37,emission_heat,222,kg/MWh,,,,,
38,daily_demand_th,288,MWh,,,,,
39,daily_demand_el,52,MWh,,,,,
40,chp_heat_output,0.5,MW,,,,,
41,heatpump_heat_output,3,MW,,,,,
42,boiler_heat_output,3,MW,,,,,
43,PV_pp_surface_area,4,ha,,,,,PV_pp
44,invest_cost_building_retrofit,2000000,EUR/1%_yearly_demand,,,,costs,
45,nom_val_fuel,100000,MW,,,,,source
46,sum_max_fuel,100000000,MWh,,,,,source
47,var_costs_fuel,50,EUR/MWh,,,,costs,source
48,var_costs_mobility,0,EUR/MWh,,,,costs,bus
49,conversion_factor_bev,5.154639175,1,,,,,bev 
50,conversion_factor_car,1517.911,1,,,,,Car
51,var_costs_excess_bkm,0,EUR/km,,,,costs,bus
52,var_costs_shortage_bkm,1000000,EUR/km,,,,costs,bus
53,vehicle,5453,1,,,,,Vehicle
54,invest_cost_bev,37000,EUR,,,,,bev
55,emission_fuel,250,kg/MWh,,,,,
56,km_tot,79217875,km,,,,,Vehicle
57,conversion_factor_charging,1,1,,,,,bev
58,conversion_factor_discharging,1,1,,,,,bev
59,charging_power,11,kW,,,,,E_Car
60,capacity_bev_storage,61,kWh,,,,bev
61,invest_cost_car,22500,EUR,,,,,Car
62,init_capacity_storage_bev,1,1,,,,,storage_bev
